Галактика,Тип,Расстояние от Земли млн св. лет,Примечания
Млечный Путь,SBbc,—,Родная галактика Земли
Карликовая галактика в Большом Псе,Irr,0.025[2],Спутник Млечного Пути
Карликовая эллиптическая галактика в Стрельце SagDEG,dSph/E7,81,Спутник Млечного Пути
Большое Магелланово Облако (БМО LMC),Irr/SB(s)m,163,Спутник Млечного Пути
Волопас I,d Sph,0.197[4],Спутник Млечного Пути
Малое Магелланово Облако (ММО SMC NGC 292),SB(s)m pec,206,Спутник Млечного Пути
Карликовая галактика в созвездии Малая Медведица,dE4,206,Спутник Млечного Пути
Карликовая галактика в Драконе (DDO 208),dE0 pec,258,Спутник Млечного Пути с большим содержанием тёмной материи
NGC 2419,Шаровое звёздное скопление,275,Наиболее яркое удалённое шаровое звёздное скопление
Карликовая сфероидальная галактика в созвездии Секстант (Sextans I),dSph,281,Спутник Млечного Пути
Карликовая галактика в созвездии Скульптор (E351-G30),dE3,287,Спутник Млечного Пути
Большая Медведица I (UMa I dSph),dSph,330,Спутник Млечного Пути
Карликовая галактика в Киле (E206-G220),dE3,330,Спутник Млечного Пути
Карликовая галактика в созвездии Печь (E356-G04),dSPh/E2,0.46,Спутник Млечного Пути
Лев II (Leo B DDO 93),dE0 pec,0.701[7],Спутник Млечного Пути
Лев I (DDO 74),dE3,0.820[7],Спутник Млечного Пути
Лев T,G[4],1370,Спутник Млечного Пути
Карликовая галактика в Фениксе (P 6830),IAm,1.44,Спутник Млечного Пути
Галактика Бернарда (NGC 6822),IB(s)m IV—V,1.630[7],Спутник Млечного Пути
MGC1[9],Glob Clus,2,Изолированное скопление на расстоянии ~200 кпк от Андромеды
NGC 185,dE3 pec,2.010[10],Спутник Андромеды
Андромеда II,dE0,2.130[10],Спутник Андромеды
IC 10 (UGC 192),dIrr IV/BCD[4],2.2,Спутник Андромеды
NGC 147 (DDO 3),dE5 pec,2.200[10],Спутник Андромеды
Лев A (Лев III DDO 69),IBm V,2.250[7] ?,Спутник Млечного Пути
IC 1613 (UGC 668),IAB(s)m V,2.350[7],Спутник Андромеды
Андромеда I,dE3 pec,2.430[10],Спутник Андромеды
Андромеда III,dE2,2.440[10],Спутник Андромеды
Карликовая галактика в созвездии Кит,dSph/E4,2.460[10],Спутник Андромеды[3]
Галактика M32 (NGC 221),E2,2.480[7],Близкий спутник Андромеды
Карликовая галактика в Кассиопее (Cas dSph Андромеда VII),dSph,2.490[10],Спутник Андромеды[3]
Андромеда IX,dE,2.500[10],Спутник Андромеды[3]
Карликовая галактика в созвездии Рыбы (LGS 3),dIrr/dSph,2.510[10],Спутник Галактики Треугольника
Андромеда V,dSph,2.52[10],Спутник Андромеды[3]
Карликовая неправильная галактика в Пегасе (Андромеда VI),dSph,2.55[10],Спутник Андромеды[3]
Андромеда VIII,dSph[12],2.56??,Искажённая приливными силами карликовая галактика вблизи Андромеды обнаруженная в 2003 г[12]
Галактика Андромеды (M31),SA(s)b,2.56[10],Самая большая галактика в Местной группе обладающая по меньшей мере 19 галактиками-спутниками.
Галактика Треугольника (M33),SAc,2.64[10],Наиболее удаленный объект видимый невооруженным взглядом.
Карликовая эллиптическая галактика M110 (NGC 205),E6p,2.69[10],Близкий спутник Андромеды
Андромеда XXI[13],,2.8,Спутник Андромеды
Карликовая галактика в Тукане,dE5,2.87,Изолированная галактика находящаяся вдали от Млечного Пути и Андромеды[14]
Андромеда X,dSph[4],2.90??,Спутник Андромеды обнаруженный в 2006 г.
Карликовая сфероидальная галактика в Пегасе (DDO 216),dIrr/DSph[4],3.00[10],Спутник Андромеды
Андромеда XIX[16],,3.04,Спутник Андромеды
Wolf-Lundmark-Melotte (WLM DDO 221),Ib(s)m[4],3.16,Изолированная галактика на границе Местной группы
Карликовая неправильная галактика в Стрельце (SagDIG),IB(s)m V[4],3.39,Изолированный член Местной группы
Карликовая неправильная галактика в Водолее (DDO 210),Im V,3.49[10],Изолированный член Местной группы
UGC 4879 (VV124)[17],,3.59,
Карликовая галактика в созвездии Насос (англ.) (DDO 210),dE35[4],4.08,Возможно испытывает приливное взаимодействие со стороны NGC 3109[18]
NGC 3109,SB(s)m,4.24,
Секстант A (UGCA 205 DDO 75),IBm[4],4.31[19],Изолированный член Местной группы
Андромеда XVIII[16],,4.42,
Секстант B (UGC 5373),IM IV—V[4],4.7,
KKh 060,Ir,4.89,
KUG 1210+301B (KK98 127),S..,4.89,
HIZSS 003,?,5.5,Скрыта Млечным Путём
KKR 25,Ir,6.07,
ESO 410-G005,E3[4],6.33,
ESO 294-010,dS0/Im[4],6.26[20],
IC 5152 (англ.),IA(s)m[4],6.42,
GR 8 (англ.) (DDO 155),ImV[4],6.95,
KKR 03 (KK98 230),dwarf Irr,6.98,
NGC 300,SA(s)d[4],7.01,формирует гравитационно-связанную пару с галактикой NGC 55
NGC 55,SB(s)m: sp[4],7.08,формирует гравитационно-связанную пару с галактикой NGC 300
UGCA 438 (ESO 407—018),IB(s)m pec:[4],7.24,
UGC 09128 (DDO 187),ImIV-V,7.3,
IC 3104,IB(s)m,7.4,
IC 4662 (ESO 102- G 014),IBm,7.96,
KKh 98,Irr,7.99,
UGC 8508 (I Zw 060),IAm,8.35[21]?,
KKh 086,Ir,8.51,
DDO 99 (UGC 06817),Im,8.61,
UGC 07577 (DDO 125),Im,8.94,
UGC 9240 (DDO 190),IAm,9.1,
Галактика Циркуль (ESO 097-13),SA(s)b,9.13,Ближайшая галактика с активным ядром
Dwingeloo 1,SB(s)cd,9.13,
Maffei 2,SAB(rs)bc,9.13,
UGCA 276 (DDO 113),Im,9.32,
NGC 4214 (UGC 07278),IAB(s)m,9.58,Галактика со вспышкой звездообразования
UGCA 86 (англ.),SAB(s)m[23],9.65,
NGC 4163,,9.65,
Dwingeloo 2,Im?,9.78,
KKH 11 (ZOAG G135.74-04.53),dE/N,9.78,
KKH 12,Ir,9.78,
MB 3,dSph,9.78,
MB 1 (KK98 21),SAB(s)d?,9.78,
Maffei 1,S0- pec,9.78,
UGCA 92,Im?[4],9.82,
UGC 8651 (DDO 181),Im,9.82,
ESO274-01[25],,10.1,
UGCA 292 (DDO 125),ImIV-V,10.11,
NGC 3741,ImIII/BCD,10.21[21],
KK98 35,Irr,10.31,
HIPASS J1247-77,Im,10.31,
NGC 2366,IB(s)m,10.40[21],
UGCA 133 (DDO 44),Im,10.40[21],
ESO321-014[25],,10.40[25],
UGC 8833,Im,10.41,
UGC 4483,BlueCG,10.47[21],
NGC 404,SA(s)0-:[4],9.98,
UGCA 105,Im?,10.63[21],
IC 342,SAB(rs)cd[4],10.7,«скрытая галактика»
Cas 1 (KK98 19),dwarf Irr,10.76,
NGC 2403,SAB(s)cd HII,10.76,
Camelopardalis B,Irr,10.80[21],
UGCA 015 (DDO 6),IB(s)m,10.9,
NGC 1569 (UGC 03056),IBm;Sbrst[4],10.96,
KKH 37 (Mai 16),S/Irr,11.06,
Holmberg II (DDO 50 UGC 4305),Im,11.06[21],
NGC 5102,SA0- HII,11.09,
NGC 5237,,11.09,
ESO 325-11,,11.09,
ESO 540-030 (KDG 2),IABm,11.1,
FM2000 1,dSph?,11.15[21],
ESO 540-032,IAB(s)m pec:,11.15,
NGC 1560,SA(s)d HII,11.25,
ESO 383-087 (ISG 39),SB(s)dm,,
NGC 5206,,11.3,
KK 179 (ESO269-37),,,
KK98 77,dwarf Sph,11.35[21],
DDO 71,Im,11.42[21],
Галактика M82,I0;Sbrst HII,11.51,
ESO 269-66 (KK98 190),dEN,11.55,
M81 Dwarf A (KDG 52),I?,11.58[21],
NGC 2976,SAc pec HII,11.61[21],
UGC 4459 (DDO 53),Im,11.61[21],
NGC 4945,SB(s)cd: sp[4],11.70[28],
